"","url","sp_title","original_title","release_year","length","country","director","writers","music_composer","photography","additional_space","platform_format","platform_name"
"1","https://www.filmaffinity.com/es/film732599.html","Batman","Batman",1989,"121 min."," Estados Unidos","Tim Burton","Sam Hamm, Warren Skaaren. Personajes: Bob Kane","Danny Elfman. Canciones: Prince","Roger Pratt","Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl, Pat Hingle, Billy Dee Williams, Michael Gough, Jack Palance, Jerry Hall, Tracey Walter, Lee Wallace, William Hootkins, Philip Tan, Richard Strange, Carl Chase, Mac McDonald, George Lane Cooper, Terence Plummer, John Sterland, Edwin Craig, Vincent Wong, Joel Cutrara, John Dair, Christopher Fairbank, Kate Harper, Bruce McGuire, Richard Durden, Lachele Carl, Wayne Michaels, Valentino Musetti, Rocky Taylor, Keith Edwards, Leon Herbert, Steve Plytas, Amir M. Korangy, Hugo Blick, Philip O'Brien, Michael Balfour, Liza Ross, Garrick Hagon, David Baxt, Sam Douglas, Denis Lill, Paul Birchardver 31 más","Suscripción","HBO Max"
"2","https://www.filmaffinity.com/es/film331876.html","Batman vuelve","Batman Returns",1992,"130 min."," Estados Unidos","Tim Burton","Daniel Waters. Historia: Daniel Waters, Sam Hamm. Personajes: Bob Kane","Danny Elfman","Stefan Czapsky","Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough, Michael Murphy, Cristi Conaway, Andrew Bryniarski, Pat Hingle, Vincent Schiavelli, Doug Jones, Steve Witting, Jan Hooks, John Strong, Rick Zumwalt, Anna Katarina, Gregory Scott Cummins, Travis McKenna, Branscome Richmond, Paul Reubens, Diane Salinger, Stuart Lancaster, Sean Whalen, Erik Onate, Joey DePinto, Steven Brill, Neal Lerner, Elizabeth Sanders, Henry Kingi, Lisa Guerrero, Biff Yeager, Robert Gossett, Adam Drescher, Bobby Bell, Niki Botelho, Felix Silla, Debbie Lee Carringtonver 24 más","Suscripción","HBO Max"
"3","https://www.filmaffinity.com/es/film161835.html","Batman Forever","Batman Forever",1995,"120 min."," Estados Unidos","Joel Schumacher","Lee Batchler, Janet Scott Batchler, Akiva Goldsman. Personajes: Bob Kane","Elliot Goldenthal. Canción: Seal","Stephen Goldblatt","Val Kilmer, Nicole Kidman, Chris O'Donnell, Tommy Lee Jones, Jim Carrey, Debi Mazar, Michael Gough, Pat Hingle, Don 'The Dragon' Wilson, Drew Barrymore, Jon Favreau, Kimberly Scott, Michael Paul Chan","Suscripción","HBO Max"
"4","https://www.filmaffinity.com/es/film159422.html","Batman y Robin","Batman & Robin","1997","125 min."," Estados Unidos","Joel Schumacher","Akiva Goldsman. Personajes: Bob Kane","Elliot Goldenthal","Stephen Goldblatt","Suscripción","HBO Max"
"5","https://www.filmaffinity.com/es/film943383.html","Batman Begins","Batman Begins",2005,"140 min."," Estados Unidos","Christopher Nolan","David S. Goyer, Christopher Nolan. Personajes: Bob Kane","James Newton Howard, Hans Zimmer","Wally Pfister","Christian Bale, Liam Neeson, Katie Holmes, Cillian Murphy, Michael Caine, Morgan Freeman, Gary Oldman, Ken Watanabe, Tom Wilkinson, Rutger Hauer, Mark Boone Junior, Gus Lewis, Linus Roache, Colin McFarlane, Rade Serbedzija, Richard Brake, Christine Adams, Larry Holden, Jack Gleesonver 6 más","Suscripción","HBO Max"
"6","https://www.filmaffinity.com/es/film867354.html","El caballero oscuro","The Dark Knight",2008,"152 min."," Estados Unidos","Christopher Nolan","Christopher Nolan, David S. Goyer, Jonathan Nolan. Personajes: Bob Kane","James Newton Howard, Hans Zimmer","Wally Pfister","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Gary Oldman, Morgan Freeman, Maggie Gyllenhaal, Eric Roberts, Cillian Murphy, Chin Han, Michael Jai White, William Fichtner, Monique Gabriela Curnen, Nestor Carbonell, Ritchie Coster, Keith Szarabajka, Colin McFarlane, Joshua Harto, Melinda McGraw, Ron Dean, Nathan Gamble, Tommy 'Tiny' Lister, David Dastmalchianver 10 más","Suscripción","HBO Max"
"7","https://www.filmaffinity.com/es/film352576.html","El caballero oscuro: La leyenda renace","The Dark Knight Rises",2012,"164 min."," Estados Unidos","Christopher Nolan","Christopher Nolan, Jonathan Nolan. Historia: Christopher Nolan, David S. Goyer. Personajes: Bob Kane","Hans Zimmer","Wally Pfister","Christian Bale, Anne Hathaway, Tom Hardy, Joseph Gordon-Levitt, Michael Caine, Gary Oldman, Marion Cotillard, Ben Mendelsohn, Morgan Freeman, Matthew Modine, Josh Stewart, Tom Conti, Burn Gorman, Alon Aboutboul, Daniel Sunjata, Juno Temple, Nestor Carbonell, Aidan Gillen, Brett Cullen, Cillian Murphy, Chris Ellis, Liam Neeson, Wade Williams, Josh Pence, Mark Killeen, Joey King, Courtney Munch, Ming Wang, Claire Julienver 16 más","Suscripción","HBO Max"
"8","https://www.filmaffinity.com/es/film300113.html","Batman v. Superman: El amanecer de la Justicia","Batman v. Superman: Dawn of Justice",2016,"153 min."," Estados Unidos","Zack Snyder","David S. Goyer, Chris Terrio. Historia: David S. Goyer, Zack Snyder","Hans Zimmer, Junkie XL","Larry Fong","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg, Gal Gadot, Diane Lane, Laurence Fishburne, Jeremy Irons, Holly Hunter, Scoot McNairy, Jena Malone, Callan Mulvey, Tao Okamoto, Brandon Spink, Lauren Cohan, Hugh Maguire, Jason Momoa, Ezra Miller, Ray Fisher, Kevin Costner, Jeffrey Dean Morgan, Joe Morton, Jade Chynowethver 10 más","Suscripción","HBO Max"
"9","https://www.filmaffinity.com/es/film786576.html","Gotham (Serie de TV)","Gotham",2014,"50 min."," Estados Unidos","Bruno Heller (Creador), Danny Cannon, T.J. Scott, Eagle Egilsson, Rob Bailey, John Behring, Paul A. Edwards, Nick Copus, Jeffrey G. Hunt, Louis Shaw Milito, Nathan Hope, Bill Eagles, Scott White, Dermott Downs, Guy Ferland, Karen Gaviola, Tim Hunter, Kenneth Fink, Wendey Stanzler, Hanelle M. Culpepper, Larysa Kondracki, John Stephens, Ben McKenzie, Olatunde Osunsanmi, Mark Tonderai, Oz Scott, Maja Vrvilo, Annabelle K. Frost, Carol Bankerver 21 más","Bruno Heller, Bill Finger, Barbara Randall Kesel, Denny O'Neil, Tze Chun, Ken Woodruff, John Stephens, Danny Cannon, Robert Hull, Rebecca Perry Cutter, Ben Edlund, Jim Barnes, Steven Lilien, Bryan Wynbrandt, Rebecca Dameron, Denise Thé. Personajes: Bob Kanever 13 más","Graeme Revell, David E. Russo","Chris Norr, Crescenzo Notarile, David Stockton, Scott Kevan, Tom Yatsko","Ben McKenzie, Donal Logue, David Mazouz, Sean Pertwee, Robin Taylor, Camren Bicondova, Cory Michael Smith, Erin Richards, Drew Powell, BD Wong, Morena Baccarin, Jada Pinkett Smith, Victoria Cartagena, Zabryna Guevara, John Doman, Andrew Stewart-Jones, Chris Chalk, James Frain, Jessica Lucas, Sarah Pidgeon, Kelly P. Williams, Michael Chiklis, Kevin D. McGee, J.W. Cortes, Alexander Siddig, Benedict Samuel, Maggie Geha, Kelcy Griffin, Frank Modica, Krista Braun, Crystal Reed, Anthony Carrigan, Cameron Monaghan, Nicholas D'Agosto, Alex Corrado, Chelsea Spack, Paul Reubensver 24 más","Suscripción",NA
"10","https://www.filmaffinity.com/es/film911057.html","The Batman","The Batman",2022,"175 min."," Estados Unidos","Matt Reeves","Matt Reeves, Peter Craig. Personajes: Bob Kane, Bill Finger","Michael Giacchino","Greig Fraser","Robert Pattinson, Zöe Kravitz, Jeffrey Wright, John Turturro, Paul Dano, Colin Farrell, Andy Serkis, Peter Sarsgaard, Jayme Lawson, Con O'Neill, Barry Keoghan, Gil Perez-Abraham, Peter McDonald, Alex Ferns, Rupert Penry-Jones, Kosha Engler, Janine Harouni, Oscar Novakver 5 más","Suscripción","HBO Max"
