"recommender","recommendation","author","type","subtype","language_comment","comment"
"Lorenzo Mejino","Primal",NA,"TV Series","Animación","Español","La mejor serie de animación que he visto en mi vida es Primal en HBO Max demostrando que el poder de la imagen te puede llevar  a sensaciones que no te podías imaginar. Su 2T te deja boquiabierto en cada episodio."
"Random Twitter User","Samurai Jack",NA,"TV Series","Animación","Español", NA
"Juanjo M. Jambrina","El jardín del diablo",NA,"Film","Film","Español", "La recomienda hoy Nuria Vidal en su imprescindible blog. Es una maravilla de película. Ha madurado a lo Catherine Deneuve, que podría presentarse ya a Presidenta del Mundo."
"Luis Magrinyà","Enseñar a hablar a un monstruo","José C. Valdés","Book","Essay","Español","Esta colección de marginalia de @josecvales sobre el siempre divertido a la par que misterioso y angustioso tema de LOS ORÍGENES (aquí del lenguaje, las lenguas y la escritura) es excelente, utile et dulci!"
"Random Twitter User","Harakiri","kobayashi","Film","Film","Español","Se cumplen 60 años del estreno del HARAKIRI (切腹, 1962) de Kobayashi, uno de esos films dignos del apelativo «obra maestra» y una clase magistral del uso del sonido, de los encuadres (¡cuánta violencia genera un buen encuadre!), las escalas o la dirección de actores (Nakadai)."
"Editorial Contraseña","Mientras agonizo","William Faulkner","Book","Novel","Español","Y, hablando de traslado de cadáveres y entierros, no puedo dejar de recomendar esta obra maestra de William Faulkner."
"Random Twitter User","The Rings of Power",NA,"TV Series","Fantasy","English","Watching The Rings of Power and there's no real sense of tension or plot development, nobody to root for or dislike, just lots of stuff happening to different people very slowly."
"Fausto Fernández","Imperio de violencia","Ken Annakin","Film","Film","Español","Peli (Harry Landis) del día: IMPERIO DE VIOLENCIA, un policíaco británico lleno de sombras (ladrones, chantajes, venganzas...) y muy Fritz Lang (LOS SOBORNADOS) que consolidó a su director, Ken Annakin, como uno de los grandes."
"@mtscano","Los vicios ordinarios","Judith N. Shklar","Book","Essay","Español","¡Un libro espléndido y la mejor sopresa en el buzón!"
"Random Twitter User","Sicario","Denis Villeneuve","Film","Film","Español","7 años del estreno de SICARIO. Denis Villenueve rodaba una de sus mejores películas con escenas de pura tensión. La escena de la autopista es simplemente sublime. ¿Qué os parece? ¿Os gusta tanto como a mí?"
"EstrellaSinMichelin","Zurito",NA,"Restaurante","Español","Español","Enorme @Rzurito. Chuleta y rodaballo de 10 pero es que el resto está siempre a un nivel altísimo. Y, además, no se nota la inflación."
"Las crónicas de Deckard","Mensajero del futuro",NA,"Film",NA,"Español","Otro western encubierto futurista y post-apocalíptico de Kevin Costner. Y yo que lo disfruto mucho. Tiene buenas escenas, una gran producción, y un villano genial con Will Patton. Y Kevin Costner muy cómodo en el papel. Me encanta."
"Guillermo (Letras Corsarias)","Élise o la vida de verdad","Claire Etcherelli","Book",NA,"Español","Una novela que retrata la condición de los estratos menos favorecidos de nuestras sociedades. Un personaje femenino de clase obrera, complejo y sutil, alejado del maniqueísmo. Vida militante, tensión racial y conflictos laborales. Una novela de referencia para Beauvoir y Ernaux."
"Random Twitter User","Athena","Romain Gavras","Film",NA,"Español","Como viene siendo habitual, Netflix estrena sin apenas promoción una película que no debería pasar desapercibida. Al final toma algunas decisiones que me chirrían pero en general el nivel es altísimo. La acción está rodada con mucho nervio y tiene un despliegue visual alucinante."
"Libros Catarata","Ecología y acción social","Barry Commoner","Book","Essay","Español","Fue uno de los fundadores del pensamiento ecologista"
